"","date","tipo.cambio","search","desocupacion","exp.petrolera","exportaciones","importaciones","precio.petroleo"
"1",2005-01-01,11.32,13.6,3.95199787,1985.953,94.642,171.346,31.69
"2",2005-02-01,11.23,14.25,3.77330244,2027.295,95.936,171.892,33.69
"3",2005-03-01,11.3,14.5,3.62707537,2477.13,98.063,173.749,38.43
"4",2005-04-01,11.2,13.75,3.36341228,2429.087,99.129,174.013,39.86
"5",2005-05-01,11.03,13.2,3.30369265,2582.799,99.634,173.999,40.05
"6",2005-06-01,10.8,12.75,3.4821565,2708.949,100.578,174.313,44.68
"7",2005-07-01,10.72,16.2,3.9233627,2758.055,101.573,174.87,46.56
"8",2005-08-01,10.9,15.25,3.67007975,3067.983,103.158,175.592,50.34
"9",2005-09-01,10.9,12.25,3.578426,2909.76,103.725,176.85,50.97
"10",2005-10-01,10.92,12,3.38599539,3144.437,103.448,177.921,48.01
"11",2005-11-01,10.7,12.25,2.93981529,2869.27,102.859,177.758,43.76
"12",2005-12-01,10.77,13.75,2.77001059,2927.854,103.502,178.551,45.09
"13",2006-01-01,10.57,13.4,3.47786875,3487.585,105.988,179.593,50.18
"14",2006-02-01,10.58,12.5,3.74522836,2926.637,105.895,179.486,48.8
"15",2006-03-01,11.01,13,3.31182028,3541.991,105.921,179.706,51.37
"16",2006-04-01,11.2,14.2,3.19501793,3510.821,107.633,180.69,57.09
"17",2006-05-01,11.4,15.25,2.83926121,3628.443,109.001,181.783,56.77
"18",2006-06-01,11.55,16,3.25883338,3400.323,107.516,182.842,55.67
"19",2006-07-01,11.08,17.8,4.00741845,3344.293,109.843,183.858,59.43
"20",2006-08-01,11.05,14,3.87206043,3796.806,111.527,185.021,60.15
"21",2006-09-01,11.12,12.5,3.99579567,2986.435,108.943,184.976,51.31
"22",2006-10-01,10.89,12.4,3.81798355,2873.927,108.063,185.817,48.51
"23",2006-11-01,11.08,12.25,3.50289521,2892.406,107.928,186.137,47.6
"24",2006-12-01,10.93,12.8,3.31665699,2627.182,108.996,186.463,49.77
"25",2007-01-01,11.13,12.5,4.04674987,2616.795,106.711,186.728,44.4
"26",2007-02-01,11.25,11.75,4.05167076,2801.28,107.667,188.889,48.35
"27",2007-03-01,11.15,13.25,3.72676021,3161.571,108.426,189.931,50.47
"28",2007-04-01,11.05,12,3.51300819,3129.579,110.591,191.593,54.55
"29",2007-05-01,10.85,12,3.15085674,3535.138,111.299,192.669,56.19
"30",2007-06-01,10.92,12.5,3.28199333,3526.428,112.695,193.112,60
"31",2007-07-01,11.05,13.8,3.79006856,3963.511,114.844,193.787,64.54
"32",2007-08-01,11.15,13.25,3.8310352,3606.502,113.983,193.203,63.04
"33",2007-09-01,11.02,12.2,3.76169547,3894.072,116.032,194.167,67.49
"34",2007-10-01,10.8,11.75,3.77112469,3742.225,118.818,195.53,72.08
"35",2007-11-01,11.02,13.25,3.35402533,4880.247,121.132,197.606,79.84
"36",2007-12-01,11.03,13.4,3.10613687,4156.49,120.982,198.245,79.57
"37",2008-01-01,10.95,13.25,4.11706185,4166.796,121.391,200.819,80.15
"38",2008-02-01,10.85,12,3.88859328,3811.109,123.543,202.327,81.4
"39",2008-03-01,10.75,13,3.61456657,5045.951,127.647,205.551,89.35
"40",2008-04-01,10.65,13.25,3.47955511,4784.784,130.581,207.658,94.9
"41",2008-05-01,10.45,13.5,3.29491468,5001.74,134.161,210.772,104.18
"42",2008-06-01,10.43,14.2,3.36795461,5589.744,138.212,213.397,114.15
"43",2008-07-01,10.13,15.75,4.13338526,5931.857,141.59,218.101,120.25
"44",2008-08-01,10.38,15.4,4.05671164,5464.579,137.372,216.551,106.64
"45",2008-09-01,11.05,16.75,4.14089721,3464.975,128.327,215.875,85.57
"46",2008-10-01,12.96,72.25,4.17178615,3297.182,113.544,210.641,60.27
"47",2008-11-01,13.55,37,4.32293494,2317.633,102.58,206.264,42.4
"48",2008-12-01,13.95,30.75,4.02480419,1759.022,98.27,202.353,33.7
"49",2009-01-01,14.4,30.5,5.00904125,1915.814,97.881,202.64,37.95
"50",2009-02-01,15.2,30.75,5.23817316,1672.012,96.554,202.001,38.24
"51",2009-03-01,14.3,36.4,4.66487867,1933.5,96.996,200.872,42.03
