Total de exportaciones petroleras,,,,
Ruta temática,Energía> Subsector petrolero> Exportaciones> Total de exportaciones petroleras,,,
Periodicidad,Mensual,,,
Unidad de medida,Millones de dólares,,,
Fuente,"Grupo de Trabajo de Estadísticas de Comercio Exterior, integrado por el Banco de México, INEGI, Servicio de Administración Tributaria y la Secretaría de Economía.",,,
Cifras oportunas,2015/11,,,
Cifras revisadas,2014/01,,,
Nota,"NOTA: De agosto a diciembre de 2011, abril y julio a diciembre de2012,las  cifras  se  encuentran  en  estatus  de ajustadas,debido a  la  actualización  de datos por parte de la fuenteinformante. Como  parte   del  proceso  normal   de  revisión   de   lainformación publicada,  se efectuaron  modificaciones  a lascifras  de  comercio exterior en los periodos :  septiembre-diciembre de  2013  (el estatus de  este  periodo  cambia  acifras ajustadas), enero-diciembre de 2014  y enero-marzo de2015.  Tales revisiones  comprendieron   principalmente  losdatos de exportaciones de petróleo crudo y de  productos  deorigen agrícola.",,,
Fecha inicial,2015/11,,,
Fecha final,1982/01,,,
Última actualización,2015/12/24,,,
Periodo,Dato,,,
1982/01,1089.9,,,
1982/02,1039.7,,,
1982/03,1035.3,,,
1982/04,1057.7,,,
1982/05,1420.9,,,
1982/06,1529.7,,,
1982/07,1552.9,,,
1982/08,1518.2,,,
1982/09,1556,,,
1982/10,1583.8,,,
1982/11,1630.6,,,
1982/12,1462.6,,,
1983/01,1520,,,
1983/02,1050.2,,,
1983/03,1209.7,,,
1983/04,1357.7,,,
1983/05,1367.3,,,
1983/06,1329,,,
1983/07,1312.8,,,
1983/08,1373.7,,,
1983/09,1357,,,
1983/10,1434.1,,,
1983/11,1450.7,,,
1983/12,1254.8,,,
1984/01,1545.1,,,
1984/02,1302.9,,,
1984/03,1434.9,,,
1984/04,1390.4,,,
1984/05,1368.1,,,
1984/06,1362.6,,,
1984/07,1400.1,,,
1984/08,1375.2,,,
1984/09,1354.2,,,
1984/10,1435.5,,,
1984/11,1316.5,,,
1984/12,1316,,,
1985/01,1228.3,,,
1985/02,1275.5,,,
1985/03,1411.8,,,
1985/04,1365,,,
1985/05,1180.4,,,
1985/06,745.5,,,
1985/07,1259.5,,,
1985/08,1353.5,,,
1985/09,1213.5,,,
1985/10,1154,,,
1985/11,1354.1,,,
1985/12,1225.4,,,
1986/01,734.6,,,
1986/02,538.1,,,
1986/03,403.9,,,
1986/04,422.3,,,
1986/05,504.3,,,
1986/06,480.8,,,
1986/07,407.6,,,
1986/08,529.9,,,
1986/09,509,,,
1986/10,554.4,,,
1986/11,541.8,,,
1986/12,680.6,,,
1987/01,700.8,,,
1987/02,615.4,,,
1987/03,713.6,,,
1987/04,716.6,,,
1987/05,749.6,,,
1987/06,761.6,,,
1987/07,829.8,,,
1987/08,767.6,,,
1987/09,744.3,,,
1987/10,747.3,,,
1987/11,672.7,,,
1987/12,610.4,,,
1988/01,628.3,,,
1988/02,565.4,,,
1988/03,607.6,,,
1988/04,601.7,,,
1988/05,658.7,,,
1988/06,570.1,,,
1988/07,561,,,
1988/08,595.2,,,
1988/09,412.6,,,
1988/10,468.7,,,
1988/11,481.8,,,
1988/12,560.1,,,
1989/01,612.9,,,
1989/02,560.7,,,
1989/03,679.6,,,
1989/04,692.5,,,
1989/05,681.6,,,
1989/06,659.3,,,
1989/07,647.3,,,
1989/08,615.2,,,
1989/09,650.8,,,
1989/10,692.2,,,
1989/11,655.7,,,
1989/12,728.2,,,
1990/01,753.3,,,
1990/02,607.5,,,
1990/03,622.3,,,
1990/04,496.4,,,
1990/05,515.7,,,
1990/06,471.5,,,
1990/07,602.9,,,
1990/08,1023.4,,,
1990/09,1307.6,,,
1990/10,1359,,,
1990/11,1244.2,,,
1990/12,1099.8,,,
1991/01,795.546,,,
1991/02,615.36,,,
1991/03,617.088,,,
1991/04,661.079,,,
1991/05,689.802,,,
1991/06,654.417,,,
1991/07,706.992,,,
1991/08,707.23,,,
1991/09,708.099,,,
1991/10,765.855,,,
1991/11,640.381,,,
1991/12,604.566,,,
1992/01,609.516,,,
1992/02,542.443,,,
1992/03,615.897,,,
1992/04,648.075,,,
1992/05,713.655,,,
1992/06,763.399,,,
1992/07,732.619,,,
1992/08,769.665,,,
1992/09,767.651,,,
1992/10,804.827,,,
1992/11,689.681,,,
1992/12,649.171,,,
1993/01,619.493,,,
1993/02,595.083,,,
1993/03,708.446,,,
1993/04,680.576,,,
1993/05,683.047,,,
1993/06,676.32,,,
1993/07,652.679,,,
