Exportaciones,,,,
Ruta temática,Precios e inflación> Índice general de precios de las exportaciones e importaciones> Índice> Exportaciones,,,
Periodicidad,Mensual,,,
Unidad de medida,Índice base 1980 = 100,,,
Fuente,Banco de México.,,,
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. ",,,
Fecha inicial,2015/10,,,
Fecha final,1970/01,,,
Última actualización,2015/12/09,,,
Periodo,Dato,,,
1970/01,32.589,,,
1970/02,32.752,,,
1970/03,33.094,,,
1970/04,32.843,,,
1970/05,33.37,,,
1970/06,33.363,,,
1970/07,32.886,,,
1970/08,32.375,,,
1970/09,32.668,,,
1970/10,32.479,,,
1970/11,32.682,,,
1970/12,32.72,,,
1971/01,33.573,,,
1971/02,33.695,,,
1971/03,34.524,,,
1971/04,34.435,,,
1971/05,35.191,,,
1971/06,35.777,,,
1971/07,34.735,,,
1971/08,35.565,,,
1971/09,35.049,,,
1971/10,35.668,,,
1971/11,36.412,,,
1971/12,37.01,,,
1972/01,37.344,,,
1972/02,37.633,,,
1972/03,36.725,,,
1972/04,36.833,,,
1972/05,37.081,,,
1972/06,36.997,,,
1972/07,37.805,,,
1972/08,37.804,,,
1972/09,37.434,,,
1972/10,36.559,,,
1972/11,37.459,,,
1972/12,37.84,,,
1973/01,39.732,,,
1973/02,40.448,,,
1973/03,41.996,,,
1973/04,42.823,,,
1973/05,45.042,,,
1973/06,46.122,,,
1973/07,45.932,,,
1973/08,47.306,,,
1973/09,46.802,,,
1973/10,48.575,,,
1973/11,49.171,,,
1973/12,49.951,,,
1974/01,52.931,,,
1974/02,54.279,,,
1974/03,53.332,,,
1974/04,52.923,,,
1974/05,53.916,,,
1974/06,52.116,,,
1974/07,51.444,,,
1974/08,50.176,,,
1974/09,48.972,,,
1974/10,49.51,,,
1974/11,49.701,,,
1974/12,47.311,,,
1975/01,47.644,,,
1975/02,47.267,,,
1975/03,47.126,,,
1975/04,48.677,,,
1975/05,49.746,,,
1975/06,51.696,,,
1975/07,52.416,,,
1975/08,53.149,,,
1975/09,53.436,,,
1975/10,54.282,,,
1975/11,53.042,,,
1975/12,55.394,,,
1976/01,57.547,,,
1976/02,58.063,,,
1976/03,57.808,,,
1976/04,59.484,,,
1976/05,61.059,,,
1976/06,62.479,,,
1976/07,63.048,,,
1976/08,61.387,,,
1976/09,63.997,,,
1976/10,65.787,,,
1976/11,65.494,,,
1976/12,67.323,,,
1977/01,64.85,,,
1977/02,66.956,,,
1977/03,72.755,,,
1977/04,72.883,,,
1977/05,70.368,,,
1977/06,66.807,,,
1977/07,64.978,,,
1977/08,61.395,,,
1977/09,61.675,,,
1977/10,61.331,,,
1977/11,60.919,,,
1977/12,62.004,,,
1978/01,62.9,,,
1978/02,63.475,,,
1978/03,62.897,,,
1978/04,63.8,,,
1978/05,63.667,,,
1978/06,64.218,,,
1978/07,62.099,,,
1978/08,63.255,,,
1978/09,65.644,,,
1978/10,66.312,,,
1978/11,66.57,,,
1978/12,66.194,,,
1979/01,67.523,,,
1979/02,68.314,,,
1979/03,68.356,,,
1979/04,73.45,,,
1979/05,74.252,,,
1979/06,76.546,,,
1979/07,81.735,,,
1979/08,81.295,,,
1979/09,82.152,,,
1979/10,89.124,,,
1979/11,89.222,,,
1979/12,89.262,,,
1980/01,98.005,,,
1980/02,98.563,,,
1980/03,99.091,,,
1980/04,98.405,,,
1980/05,99.866,,,
1980/06,99.513,,,
1980/07,99.472,,,
1980/08,100.69,,,
1980/09,100.729,,,
1980/10,101.458,,,
1980/11,100.905,,,
1980/12,103.303,,,
1981/01,111.854,,,
1981/02,111.748,,,
1981/03,112.006,,,
1981/04,109.375,,,
1981/05,109.141,,,
1981/06,100.588,,,
1981/07,105.126,,,
1981/08,101.059,,,
1981/09,100.745,,,
1981/10,100.842,,,
1981/11,102.018,,,
1981/12,102.189,,,
1982/01,99.905,,,
1982/02,99.978,,,
1982/03,94.537,,,
1982/04,94.355,,,
1982/05,94.404,,,
1982/06,94.181,,,
1982/07,93.84,,,
1982/08,95.345,,,
1982/09,93.935,,,
1982/10,93.76,,,
1982/11,93.632,,,
1982/12,91.009,,,
1983/01,93.425,,,
1983/02,87.007,,,
1983/03,87.287,,,
1983/04,87.639,,,
1983/05,87.468,,,
1983/06,87.415,,,
1983/07,87.173,,,
1983/08,88.744,,,
1983/09,88.701,,,
1983/10,90.17,,,
1983/11,89.861,,,
1983/12,89.824,,,
1984/01,89.706,,,
1984/02,90.058,,,
1984/03,90.298,,,
1984/04,90.267,,,
1984/05,90.823,,,
1984/06,90.936,,,
1984/07,90.82,,,
1984/08,90.37,,,
1984/09,90.169,,,
1984/10,89.508,,,
1984/11,89.135,,,
1984/12,88.813,,,
1985/01,88.518,,,
1985/02,87.866,,,
1985/03,87.558,,,
1985/04,87.316,,,
1985/05,87.363,,,
1985/06,84.486,,,
1985/07,83.89,,,
1985/08,83.43,,,
1985/09,82.855,,,
1985/10,83.507,,,
1985/11,84.426,,,
1985/12,83.163,,,
1986/01,75.429,,,
1986/02,63.468,,,
1986/03,58.305,,,
1986/04,56.841,,,
1986/05,56.905,,,
1986/06,53.533,,,
1986/07,51.868,,,
1986/08,57.151,,,
1986/09,59.011,,,
1986/10,59.259,,,
1986/11,58.185,,,
1986/12,61.194,,,
1987/01,64.084,,,
1987/02,63.519,,,
1987/03,65.178,,,
1987/04,66.909,,,
1987/05,68.72,,,
1987/06,69.155,,,
1987/07,70.611,,,
1987/08,67.795,,,
1987/09,68.297,,,
1987/10,68.64,,,
1987/11,67.01,,,
1987/12,63.639,,,
1988/01,65.707,,,
1988/02,63.857,,,
1988/03,63.935,,,
1988/04,65.912,,,
1988/05,65.735,,,
1988/06,63.711,,,
1988/07,63.464,,,
1988/08,63.018,,,
1988/09,61.8,,,
1988/10,60.565,,,
1988/11,62.461,,,
1988/12,65.66,,,
1989/01,67.582,,,
1989/02,68.935,,,
1989/03,70.479,,,
1989/04,72.569,,,
1989/05,71.521,,,
1989/06,69.589,,,
1989/07,68.008,,,
1989/08,66.465,,,
1989/09,67.133,,,
1989/10,68.426,,,
1989/11,68.122,,,
1989/12,70.097,,,
1990/01,71.374,,,
1990/02,70.955,,,
1990/03,68.115,,,
1990/04,64.913,,,
1990/05,64.65,,,
1990/06,62.221,,,
1990/07,66.527,,,
1990/08,79.563,,,
1990/09,88.807,,,
1990/10,88.277,,,
1990/11,84.697,,,
1990/12,77.807,,,
1991/01,71.025,,,
1991/02,66.362,,,
1991/03,67.451,,,
1991/04,68.798,,,
1991/05,69.231,,,
1991/06,67.995,,,
1991/07,68.235,,,
1991/08,67.084,,,
1991/09,68.385,,,
1991/10,69.51,,,
1991/11,67.219,,,
1991/12,63.665,,,
1992/01,64.484,,,
1992/02,65.376,,,
1992/03,66.525,,,
1992/04,67.285,,,
1992/05,68.467,,,
1992/06,69.394,,,
1992/07,69.496,,,
1992/08,69.113,,,
1992/09,69.219,,,
1992/10,70.262,,,
1992/11,68.088,,,
1992/12,67.72,,,
1993/01,66.399,,,
1993/02,67.485,,,
1993/03,67.549,,,
1993/04,68.433,,,
1993/05,67.801,,,
1993/06,64.426,,,
1993/07,64.432,,,
1993/08,64.537,,,
1993/09,64.422,,,
1993/10,64.302,,,
1993/11,64.016,,,
1993/12,63.351,,,
1994/01,65.122,,,
1994/02,63.7,,,
1994/03,65.333,,,
1994/04,67.665,,,
1994/05,69.979,,,
1994/06,72.374,,,
1994/07,75.383,,,
1994/08,73.64,,,
1994/09,73.385,,,
1994/10,73.923,,,
1994/11,74.469,,,
1994/12,74.946,,,
1995/01,75.148,,,
1995/02,75.544,,,
1995/03,75.559,,,
1995/04,77.552,,,
1995/05,76.685,,,
1995/06,74.673,,,
1995/07,73.33,,,
1995/08,73.218,,,
1995/09,73.529,,,
1995/10,73.045,,,
1995/11,74.184,,,
1995/12,75.186,,,
1996/01,73.961,,,
1996/02,74.588,,,
1996/03,77.493,,,
1996/04,77.221,,,
1996/05,75.268,,,
1996/06,74.837,,,
1996/07,74.752,,,
1996/08,75.15,,,
1996/09,76.299,,,
1996/10,78.245,,,
1996/11,77.37,,,
1996/12,77.355,,,
1997/01,77.183,,,
1997/02,76.429,,,
1997/03,76.414,,,
1997/04,74.725,,,
1997/05,76.029,,,
1997/06,74.837,,,
1997/07,74.099,,,
1997/08,74.643,,,
1997/09,74.57,,,
1997/10,76.234,,,
1997/11,74.983,,,
1997/12,73.519,,,
1998/01,71.992,,,
1998/02,72.097,,,
1998/03,71.703,,,
1998/04,72.514,,,
1998/05,71.54,,,
1998/06,70.237,,,
1998/07,70.535,,,
1998/08,69.841,,,
1998/09,70.417,,,
1998/10,70.807,,,
1998/11,69.655,,,
1998/12,68.833,,,
1999/01,69.068,,,
1999/02,68.38,,,
1999/03,70.194,,,
1999/04,72.137,,,
1999/05,72.096,,,
1999/06,72.307,,,
1999/07,73.485,,,
1999/08,74.299,,,
1999/09,76.204,,,
1999/10,77.061,,,
1999/11,77.883,,,
1999/12,78.959,,,
2000/01,77.688,,,
2000/02,78.517,,,
2000/03,78.637,,,
2000/04,77.392,,,
2000/05,79.174,,,
2000/06,79.37,,,
2000/07,79.068,,,
2000/08,79.818,,,
2000/09,81.117,,,
2000/10,81.175,,,
2000/11,79.955,,,
2000/12,77.078,,,
2001/01,78.717,,,
2001/02,78.516,,,
2001/03,77.89,,,
2001/04,78.2,,,
2001/05,78.268,,,
2001/06,78.252,,,
2001/07,77.052,,,
2001/08,77.298,,,
2001/09,76.751,,,
2001/10,75.796,,,
2001/11,75.809,,,
2001/12,75.602,,,
2002/01,75.73,,,
2002/02,76.924,,,
2002/03,79.27,,,
2002/04,79.21,,,
2002/05,79.601,,,
2002/06,79.747,,,
2002/07,79.896,,,
2002/08,80.014,,,
2002/09,80.62,,,
2002/10,79.883,,,
2002/11,78.765,,,
2002/12,80.706,,,
2003/01,81.781,,,
2003/02,82.407,,,
2003/03,81.204,,,
2003/04,80.589,,,
2003/05,82.996,,,
2003/06,82.336,,,
2003/07,82.461,,,
2003/08,82.106,,,
2003/09,82.542,,,
2003/10,82.895,,,
2003/11,87.613,,,
2003/12,88.55,,,
2004/01,89.703,,,
2004/02,90.228,,,
2004/03,91.556,,,
2004/04,91.682,,,
2004/05,92.125,,,
2004/06,92.115,,,
2004/07,92.533,,,
2004/08,93.824,,,
2004/09,94.355,,,
2004/10,96.643,,,
2004/11,95.39,,,
2004/12,94.26,,,
2005/01,94.642,,,
2005/02,95.936,,,
2005/03,98.063,,,
2005/04,99.129,,,
2005/05,99.634,,,
2005/06,100.578,,,
2005/07,101.573,,,
2005/08,103.158,,,
2005/09,103.725,,,
2005/10,103.448,,,
2005/11,102.859,,,
2005/12,103.502,,,
2006/01,105.988,,,
2006/02,105.895,,,
2006/03,105.921,,,
2006/04,107.633,,,
2006/05,109.001,,,
2006/06,107.516,,,
2006/07,109.843,,,
2006/08,111.527,,,
2006/09,108.943,,,
2006/10,108.063,,,
2006/11,107.928,,,
2006/12,108.996,,,
2007/01,106.711,,,
2007/02,107.667,,,
2007/03,108.426,,,
2007/04,110.591,,,
2007/05,111.299,,,
2007/06,112.695,,,
2007/07,114.844,,,
2007/08,113.983,,,
2007/09,116.032,,,
2007/10,118.818,,,
2007/11,121.132,,,
2007/12,120.982,,,
2008/01,121.391,,,
2008/02,123.543,,,
2008/03,127.647,,,
2008/04,130.581,,,
2008/05,134.161,,,
2008/06,138.212,,,
2008/07,141.59,,,
2008/08,137.372,,,
2008/09,128.327,,,
2008/10,113.544,,,
2008/11,102.58,,,
2008/12,98.27,,,
2009/01,97.881,,,
2009/02,96.554,,,
2009/03,96.996,,,
2009/04,102.186,,,
2009/05,105.579,,,
2009/06,108.437,,,
2009/07,107.268,,,
2009/08,111.128,,,
2009/09,110.908,,,
2009/10,112.488,,,
2009/11,114.966,,,
2009/12,115.173,,,
2010/01,115.809,,,
2010/02,115.731,,,
2010/03,118.964,,,
2010/04,121.25,,,
2010/05,117.023,,,
2010/06,116.562,,,
2010/07,116.821,,,
2010/08,118.324,,,
2010/09,119.028,,,
2010/10,123.243,,,
2010/11,125.558,,,
2010/12,127.678,,,
2011/01,130.663,,,
2011/02,133.648,,,
2011/03,138.96,,,
2011/04,143.982,,,
2011/05,141.568,,,
2011/06,140.412,,,
2011/07,142.352,,,
2011/08,138.766,,,
2011/09,135.708,,,
2011/10,132.376,,,
2011/11,134.146,,,
2011/12,132.576,,,
2012/01,134.668,,,
2012/02,138.459,,,
2012/03,138.828,,,
2012/04,136.787,,,
2012/05,131.964,,,
2012/06,125.823,,,
2012/07,129.307,,,
2012/08,132.398,,,
2012/09,134.505,,,
2012/10,134.311,,,
2012/11,131.914,,,
2012/12,132.978,,,
2013/01,134.8,,,
2013/02,136.201,,,
2013/03,136.421,,,
2013/04,136.477,,,
2013/05,135.802,,,
2013/06,131.726,,,
2013/07,133.095,,,
2013/08,132.85,,,
2013/09,131.609,,,
2013/10,130.387,,,
2013/11,128.782,,,
2013/12,129.318,,,
2014/01,128.352,,,
2014/02,128.856,,,
2014/03,129.314,,,
2014/04,130.525,,,
2014/05,131.526,,,
2014/06,131.958,,,
2014/07,131.091,,,
2014/08,129.285,,,
2014/09,127.502,,,
2014/10,123.411,,,
2014/11,121.672,,,
2014/12,113.026,,,
2015/01,109.029,,,
2015/02,109.613,,,
2015/03,109.1,,,
2015/04,110.085,,,
2015/05,111.195,,,
2015/06,110.433,,,
2015/07,107.087,,,
2015/08,103.098,,,
2015/09,101.906,,,
2015/10,103.453,,,
