Precio promedio,,,,
Ruta temática,Energía> Subsector petrolero> Exportaciones> Petróleo crudo> Por tipo> Total> Precio promedio,,,
Periodicidad,Mensual,,,
Unidad de medida,Dólares por barril,,,
Fuente,Petróleos Mexicanos. Indicadores petroleros.,,,
Fecha inicial,2015/10,,,
Fecha final,1980/01,,,
Última actualización,2015/11/30,,,
Periodo,Dato,,,
1980/01,28.17,,,
1980/02,30.84,,,
1980/03,30.51,,,
1980/04,30.44,,,
1980/05,30.71,,,
1980/06,30.92,,,
1980/07,31.88,,,
1980/08,32.18,,,
1980/09,31.4,,,
1980/10,31.43,,,
1980/11,31.62,,,
1980/12,32.5,,,
1981/01,36.31,,,
1981/02,36.21,,,
1981/03,35.95,,,
1981/04,34.19,,,
1981/05,34.45,,,
1981/06,30.8,,,
1981/07,33.03,,,
1981/08,31.22,,,
1981/09,31.21,,,
1981/10,31.11,,,
1981/11,31.9,,,
1981/12,31.72,,,
1982/01,30.92,,,
1982/02,30.98,,,
1982/03,28.81,,,
1982/04,28.08,,,
1982/05,28.11,,,
1982/06,28.4,,,
1982/07,28.4,,,
1982/08,28.2,,,
1982/09,28.37,,,
1982/10,28.66,,,
1982/11,28.55,,,
1982/12,28.23,,,
1983/01,28.41,,,
1983/02,28.43,,,
1983/03,25.73,,,
1983/04,25.75,,,
1983/05,25.51,,,
1983/06,25.58,,,
1983/07,25.77,,,
1983/08,26.05,,,
1983/09,26.28,,,
1983/10,26.71,,,
1983/11,26.7,,,
1983/12,26.64,,,
1984/01,26.66,,,
1984/02,26.72,,,
1984/03,26.68,,,
1984/04,26.65,,,
1984/05,26.98,,,
1984/06,26.93,,,
1984/07,27.02,,,
1984/08,26.74,,,
1984/09,26.9,,,
1984/10,26.92,,,
1984/11,26.82,,,
1984/12,26.87,,,
1985/01,26.51,,,
1985/02,26.36,,,
1985/03,26.47,,,
1985/04,26.5,,,
1985/05,26.49,,,
1985/06,25.19,,,
1985/07,24.55,,,
1985/08,24.62,,,
1985/09,24.56,,,
1985/10,24.86,,,
1985/11,24.71,,,
1985/12,23.73,,,
1986/01,19.68,,,
1986/02,14.26,,,
1986/03,10.68,,,
1986/04,10.45,,,
1986/05,10.48,,,
1986/06,9.3,,,
1986/07,8.54,,,
1986/08,11.35,,,
1986/09,11.83,,,
1986/10,11.8,,,
1986/11,12.02,,,
1986/12,13.67,,,
1987/01,15.06,,,
1987/02,14.56,,,
1987/03,15.76,,,
1987/04,16.6,,,
1987/05,17.13,,,
1987/06,17.33,,,
1987/07,18.04,,,
1987/08,16.66,,,
1987/09,16.2,,,
1987/10,16.26,,,
1987/11,15.11,,,
1987/12,13.24,,,
1988/01,13.34,,,
1988/02,12.43,,,
1988/03,12.65,,,
1988/04,13.87,,,
1988/05,13.71,,,
1988/06,12.4,,,
1988/07,12.27,,,
1988/08,12.15,,,
1988/09,11.01,,,
1988/10,9.93,,,
1988/11,10.53,,,
1988/12,12.31,,,
1989/01,13.67,,,
1989/02,14.18,,,
1989/03,15.62,,,
1989/04,16.93,,,
1989/05,16.06,,,
1989/06,15.83,,,
1989/07,15.41,,,
1989/08,14.86,,,
1989/09,15.48,,,
1989/10,15.91,,,
1989/11,16.29,,,
1989/12,17.2,,,
1990/01,16.65,,,
1990/02,15.78,,,
1990/03,14.24,,,
1990/04,12.4,,,
1990/05,12.08,,,
1990/06,11.27,,,
1990/07,14.49,,,
1990/08,23.07,,,
1990/09,29.11,,,
1990/10,28.43,,,
1990/11,26.11,,,
1990/12,21.62,,,
1991/01,16.45,,,
1991/02,13.2,,,
1991/03,13.43,,,
1991/04,14.55,,,
1991/05,14.31,,,
1991/06,14.06,,,
1991/07,14.99,,,
1991/08,14.95,,,
1991/09,15.64,,,
1991/10,16.49,,,
1991/11,14.33,,,
1991/12,12.46,,,
1992/01,12.24,,,
1992/02,12.37,,,
1992/03,12.93,,,
1992/04,14.32,,,
1992/05,15.69,,,
1992/06,16.48,,,
1992/07,16.29,,,
1992/08,16.13,,,
1992/09,16.58,,,
1992/10,16.46,,,
1992/11,15.14,,,
1992/12,13.68,,,
1993/01,13.55,,,
1993/02,14.27,,,
1993/03,14.51,,,
1993/04,14.67,,,
1993/05,14.2,,,
